Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,3571.0,3602.0,3523.0,3537.0,6897000,3537.0
2016-06-02,3485.0,3491.0,3394.0,3401.0,8151900,3401.0
2016-06-03,3388.0,3443.0,3381.0,3411.0,5531900,3411.0
2016-06-06,3315.0,3354.0,3300.0,3353.0,7244100,3353.0
2016-06-07,3354.0,3376.0,3318.0,3365.0,6857100,3365.0
2016-06-08,3380.0,3418.0,3363.0,3415.0,6485200,3415.0
2016-06-09,3381.0,3393.0,3300.0,3319.0,8452200,3319.0
2016-06-10,3251.0,3296.0,3240.0,3275.0,12460200,3275.0
